380,0.001559
385,0.001695
390,0.001880
395,0.002049
400,0.002224
405,0.002371
410,0.002527
415,0.002686
420,0.002889
425,0.003074
430,0.003259
435,0.003434
440,0.003643
445,0.003829
450,0.004023
455,0.004227
460,0.004463
465,0.004664
470,0.004870
475,0.005078
480,0.005336
485,0.005542
490,0.005760
495,0.005964
500,0.006208
505,0.006417
510,0.006631
515,0.006849
520,0.007088
525,0.007304
530,0.007527
535,0.007749
540,0.008011
545,0.008245
550,0.008464
555,0.008673
560,0.008898
565,0.009088
570,0.009265
575,0.009455
580,0.009683
585,0.009875
590,0.010077
595,0.010279
600,0.010522
605,0.010697
610,0.010868
615,0.011036
620,0.011217
625,0.011360
630,0.011519
635,0.011685
640,0.011865
645,0.012029
650,0.012189
655,0.012337
660,0.012493
665,0.012633
670,0.012758
675,0.012874
680,0.013003
685,0.013076
690,0.013194
695,0.013295
700,0.013391
705,0.013489
710,0.013601
715,0.013725
720,0.013857
725,0.013965
